Run 2 - Turn the car on, toggle the key, pressed the throttle a few times

CAN Display - log recorder
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:8D>
CAN MSG: 0x810A000 [8] <1:FE:10:0:0:0:0:0>
CAN MSG: 0x220A006 [8] <80:4:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <80:8:0:80:F:C0:0:0>
CAN MSG: 0x218A006 [8] <0:2C:0:2C:0:2C:0:2C>
CAN MSG: 0x628A001 [8] <0:24:0:80:22:20:0:10>
CAN MSG: 0x618A001 [8] <0:3B:4:CA:1A:1E:4C:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:86>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:82>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x220A006 [8] <80:4:0:0:0:0:0:0>
CAN MSG: 0x218A006 [8] <0:2C:0:2C:0:2C:0:2C>
CAN MSG: 0x210A006 [8] <FF:B:FF:0:0:0:B:1F>
CAN MSG: 0x618A001 [8] <1:C:6:C3:B:19:5D:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:8B>
CAN MSG: 0x810A000 [8] <1:FE:18:0:0:0:0:0>
CAN MSG: 0xA1CA001 [8] <0:2:0:0:0:0:1:80>
CAN MSG: 0x220A006 [8] <80:0:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <80:8:0:80:F:C0:0:0>
CAN MSG: 0x628A001 [8] <0:24:0:80:1B:20:0:20>
CAN MSG: 0x618A001 [8] <1:8:6:CD:8:16:5F:0>
CAN MSG: 0x810A000 [8] <1:FE:1C:0:0:0:0:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:80>
CAN MSG: 0x28A00F [8] <55:0:47:B8:81:97:FF:0>
CAN MSG: 0x220A006 [8] <80:0:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <FF:FF:FF:FF:FA:80:0:0>
CAN MSG: 0x218A006 [8] <0:2C:0:2C:0:2C:0:2C>
CAN MSG: 0x628A001 [8] <0:24:0:80:17:20:0:20>
CAN MSG: 0x815A101 [8] <41:0:3F:34:20:0:0:0>
CAN MSG: 0x618A001 [8] <0:7:6:8E:6:14:61:0>
CAN MSG: 0x810A000 [8] <1:FE:10:0:0:0:0:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B0:D1:3E:85>
CAN MSG: 0x220A006 [8] <81:70:0:0:0:0:0:0>
CAN MSG: 0x28A006 [8] <7C:88:10:80:0:0:0:0>
CAN MSG: 0x218A006 [8] <0:2C:0:2C:0:2C:0:2C>
CAN MSG: 0x628A001 [8] <0:24:0:80:13:20:0:20>
CAN MSG: 0x618A001 [8] <0:9:6:21:5:12:61:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x30A002 [8] <BF:DF:E9:D1:B1:21:3E:8A>
CAN MSG: 0x28A00F [8] <DD:0:E7:B8:81:97:FF:0>
CAN MSG: 0x220A006 [8] <81:50:0:0:0:0:0:0>
